kind,input_views,registered_training_views,registered_test_views,overall_psnr_db,overall_ssim,priority_roi_psnr_db,priority_roi_ssim,miou,mean_boundary_iou
full,171,171,6,26.076382158512107,0.8668858569044987,27.994482365088725,0.7786514190049315,0.4121016575457223,0.1150170406038288
sparse,6,6,2,22.608298615832958,0.7105429031397971,23.033481538600743,0.5942611341042399,0.2141211342855928,0.03551926978137471
